"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.345511667E0,-8.216793218E-1,-1.234455398E0,-3.870982477E-1
3.355558667E0,-8.336550772E-1,-1.037474397E0,-5.717524409E-1
3.365604667E0,-7.350803769E-1,-8.600049698E-1,-6.113763902E-1
3.375651667E0,-6.515697120E-1,-6.296012843E-1,-6.377297911E-1
3.385698667E0,-5.626229639E-1,-3.294771534E-1,-7.193560445E-1
3.395745667E0,-4.549804015E-1,-1.464709979E-1,-8.566042292E-1
3.405792667E0,-3.393066884E-1,-1.049464113E-1,-8.414295352E-1
3.415838667E0,-3.048627144E-1,-1.046768546E-1,-7.590741339E-1
3.425885667E0,-3.702543198E-1,-1.748633230E-1,-6.239011261E-1
3.435932667E0,-5.152167360E-1,-2.149758071E-1,-3.604799679E-1
3.445979667E0,-6.858083756E-1,-2.888723338E-1,-8.074420094E-2
3.456026667E0,-8.848731049E-1,-3.427222663E-1,1.295237204E-1
3.466072667E0,-1.185052346E0,-3.199385905E-1,4.218187219E-1
3.476119667E0,-1.436903838E0,-6.617410898E-2,4.227276716E-1
3.486166667E0,-1.372089206E0,1.735418522E-1,2.998285541E-1
3.496213667E0,-9.741437888E-1,1.319663948E-1,1.946681347E-1
3.506259667E0,-7.479237130E-1,3.413148415E-1,-1.835283118E-1
3.516306667E0,-4.248751346E-1,6.388404697E-1,-5.551565811E-1
3.526353667E0,1.745882115E-1,7.619489175E-1,-9.905022517E-1
3.536400667E0,9.503918141E-1,9.725170934E-1,-9.770621341E-1
3.546447667E0,1.461912087E0,1.303978792E0,-3.988175297E-1
3.556493667E0,1.365074594E0,1.551118378E0,3.729348296E-1
3.566540667E0,7.904668115E-1,1.697957751E0,1.104545176E0
3.576587667E0,1.477437175E-1,1.665099907E0,1.689333692E0
3.586634667E0,-3.099590014E-1,1.520000081E0,2.073730234E0
3.596681667E0,-4.781699837E-1,1.318908488E0,2.280399486E0
3.606727667E0,-4.439025956E-1,1.145731502E0,2.020568811E0
3.616774667E0,-2.483694384E-1,1.216256524E0,1.494053354E0
3.626821667E0,7.960494407E-2,1.424250171E0,1.179853221E0
3.636868667E0,6.081207336E-1,1.425441833E0,1.006670680E0
3.646914667E0,1.157297952E0,1.307297087E0,7.579219401E-1
3.656961667E0,1.578637421E0,1.155229134E0,8.219112369E-1
